"","idmen","maxn"
"1",1200010012930100,1
"2",1200010040580100,2
"3",1200010066630100,2
"4",1200010082450100,1
"5",1200010086440100,2
"6",1200010102990100,2
"7",1200010118450100,2
"8",1200020012930100,4
"9",1200020017390100,1
"10",1200020026420100,2
"11",1200020045130100,2
"12",1200020094370100,4
"13",1200020118450100,1
"14",1200020122680100,3
"15",1200149012930100,4
"16",1200149034710100,1
"17",1200149057530100,2
"18",1200149073620100,1
"19",1200149099400100,2
"20",1200149118640100,3
"21",1200177012620100,4
"22",1200177012620101,2
"23",1200177012620102,2
"24",1200177012930100,2
"25",1200177015750100,1
"26",1200177023850100,1
"27",1200177084110100,1
"28",1200177087500100,6
"29",1200177102990100,2
"30",1200339020540100,3
"31",1200339026420100,2
"32",1200339032540100,2
"33",1200339082030100,5
"34",1200339084110100,3
"35",1200339088460100,1
"36",1200339101420100,1
"37",1200339108800100,5
"38",1200339108800101,4
"39",1200339115750100,3
"40",1200443018040100,3
"41",1200443057410100,2
"42",1200443078730100,1
"43",1200443095500100,1
"44",1200443103840100,1
"45",1200493001240100,1
"46",1200493010270100,4
"47",1200493023850100,4
"48",1200493044120100,1
"49",1200493052310100,1
"50",1200493089680100,1
"51",1200493106580100,3
"52",1200496020060100,1
"53",1200496034710100,1
"54",1200496039370100,1
"55",1200496045130100,2
"56",1200496078730100,5
"57",1200496089680100,4
"58",1200496095500100,3
"59",1200496099390100,3
"60",1200496101960100,2
"61",1200496122680100,2
"62",1200528013160100,1
"63",1200528017070100,3
"64",1200528039590100,1
"65",1200528052310100,2
"66",1200528058220100,3
"67",1200528122680100,3
"68",1200597020540100,3
"69",1200597020540101,2
"70",1200597030630100,2
"71",1200597033220100,1
"72",1200597057530100,4
"73",1200597073510100,1
"74",1200597103840100,5
"75",1200597118450100,5
"76",1200597123980100,2
"77",1200612016060100,2
"78",1200612051020100,4
"79",1200612051650100,2
"80",1200612053790100,2
"81",1200612091130100,2
"82",1200612095500100,4
"83",1200707027210100,2
"84",1200707039590100,3
"85",1200707042350100,2
"86",1200707081230100,4
"87",1200707099390100,2
"88",1200742020060100,1
"89",1200742020540100,3
"90",1200742067860100,2
"91",1200742109060100,2
"92",1200742117610100,1
"93",1200742126670100,4
"94",1200772012620100,1
"95",1200772023850100,2
"96",1200772034710100,4
"97",1200772044120100,1
"98",1200772052310100,5
"99",1200772057590100,6
"100",1200772082030100,3
"101",1200772102990100,2
"102",1200772108800100,4
"103",1200817032540100,2
"104",1200817064920100,3
"105",1200817084110100,2
"106",1200817091130100,2
"107",1200817106580100,2
"108",1200817109060100,1
"109",1200817114960100,1
"110",1200817118450100,3
"111",1200820051020100,5
"112",1200820067050100,5
"113",1200820073230100,3
"114",1200820095500100,2
"115",1200820117610100,1
"116",1200820122000100,4
"117",1200820124040100,4
"118",1200896001000100,3
"119",1200896012620100,1
"120",1200896020540100,3
"121",1200896030630100,4
"122",1200896031690100,4
"123",1200896051020100,6
"124",1200896051020101,1
"125",1200896067860100,1
"126",1200896086440100,2
"127",1200896118640100,5
"128",1200898014970100,4
"129",1200898018040100,2
"130",1200898026420100,1
"131",1200898027210100,2
"132",1200898073510100,2
"133",1200898082450100,2
"134",1200898089680100,2
"135",1200898126670100,1
"136",1200913012930100,3
"137",1200913031690100,3
"138",1200913031690101,1
"139",1200913043310100,1
"140",1200913051770100,3
"141",1200913073230100,4
"142",1200913094370100,2
"143",1200913102990100,1
"144",1201013011670100,2
"145",1201013040580100,3
"146",1201013057590100,1
"147",1201013063150100,2
"148",1201013073510100,2
"149",1201013082450100,3
"150",1201013118450100,1
"151",1201013118740100,3
"152",1201013121140100,6
"153",1201013123980100,3
"154",1201042017390100,2
"155",1201042023470100,1
"156",1201042040580100,5
"157",1201042082450100,4
"158",1201042095500100,1
"159",1201042124060100,3
"160",1201042124060200,1
"161",1201181026420100,2
"162",1201181039370100,1
"163",1201181042350100,3
"164",1201181084110100,2
"165",1201181109060100,2
"166",1201181113300100,1
"167",1201181114960100,2
"168",1201386020540100,2
"169",1201386057530100,1
"170",1201386067860100,1
"171",1201386095380100,2
"172",1201386101960100,2
"173",1201386106580100,4
"174",1201386121140100,4
"175",1201386124060100,2
"176",1201483017070100,1
"177",1201483020920100,1
"178",1201483053790100,3
"179",1201483081230100,1
